Video Name,SI ,TI,E,H,K(VMAF)
Lifting_Off_s021,21.2728,1.92401,17.4417,2.4558,297892.363
Lifting_Off_s022,21.5212,1.83087,17.3583,2.401,295302.1903
Lifting_Off_s023,21.678,1.73213,16.8333,2.6367,283188.481
Lifting_Off_s024,22.8398,1.88661,17,2.4286,297166.0806
Lifting_Off_s025,22.7108,2.32463,17,2.72,297303.9611
Lifting_Off_s026,24.2094,3.06298,18.3,3.8933,290221.9429
Lifting_Off_s027,31.184,2.50199,25,3.4711,294159.2873
Lifting_Off_s028,31.2876,2.42533,25,3.2455,294519.0497
Lifting_Off_s029,31.1265,2.32327,25,3.1971,295357.8573
Lifting_Off_s030,31.1761,2.57501,25,3.4437,295876.2307
Lifting_Off_s031,33.9321,3.75323,30.1,6.3421,271415.7372
Lifting_Off_s032,35.9333,3.904,34,6.6343,264878.5284
Lifting_Off_s033,35.8075,4.19218,34,6.7375,269880.7241
Lifting_Off_s034,29.7636,3.59893,28.4917,5.7994,282779.5413
Lifting_Off_s035,27.0755,2.73007,26,4.0618,293791.7572
Lifting_Off_s036,27.0598,2.48981,26,3.9917,294394.8919
